Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
107,6,5/23/15,3918,378,1,0,0,0,d,a,0,0,0,1,5,2013,"Feb,May,Aug,Nov"
492,3,6/5/13,8856,901,1,1,0,0,d,a,0,0,0,0,NA,NA,
57,1,12/30/13,5940,577,1,0,0,1,a,c,0,0,0,0,NA,NA,
260,5,1/2/15,4311,439,1,0,0,1,a,c,0,0,0,0,NA,NA,
932,4,4/4/13,3294,345,1,0,0,1,d,a,0,0,0,1,5,2013,"Feb,May,Aug,Nov"
199,4,10/23/14,3852,417,1,1,0,1,a,c,0,0,0,0,NA,NA,
139,5,10/31/14,0,0,0,0,a,1,d,a,0,0,0,0,NA,NA,
171,6,7/26/14,2389,246,1,0,0,0,a,c,0,0,0,0,NA,NA,
743,2,2/17/15,4854,458,1,1,0,0,a,c,0,0,0,0,NA,NA,
358,7,2/3/13,0,0,0,0,0,0,d,a,0,0,0,1,5,2013,"Feb,May,Aug,Nov"
307,1,7/7/14,3908,439,1,0,0,0,a,c,0,0,0,0,NA,NA,
228,4,8/14/14,3770,383,1,0,0,1,a,c,0,0,0,0,NA,NA,
379,1,4/28/14,12634,1231,1,1,0,0,d,a,0,0,0,0,NA,NA,
1099,4,12/12/13,3674,347,1,0,0,0,d,a,0,0,0,1,5,2013,"Feb,May,Aug,Nov"
940,3,8/6/14,14454,1798,1,1,0,1,a,c,75860,0,0,0,NA,NA,
1055,3,3/5/14,6376,749,1,1,0,0,a,c,75860,0,0,0,NA,NA,
845,2,10/14/14,5399,734,1,0,0,1,a,c,58260,4,2013,0,NA,NA,
816,7,12/21/14,2583,287,1,0,0,0,a,c,58260,4,2013,0,NA,NA,
721,5,2/6/15,5424,496,1,1,0,0,d,a,48330,4,2013,0,NA,NA,
527,5,7/24/15,5368,558,1,0,0,1,d,a,48330,4,2013,0,NA,NA,
209,6,6/7/14,4910,480,1,0,0,0,d,a,48330,4,2013,0,NA,NA,
1054,6,5/30/15,4716,481,1,0,0,0,d,a,48330,4,2013,0,NA,NA,
521,6,4/12/14,3326,374,1,0,0,0,d,a,48330,4,2013,0,NA,NA,
43,1,6/3/13,5893,778,1,1,0,0,a,c,46590,4,2013,0,NA,NA,
1106,6,6/29/13,3008,389,1,0,0,0,a,c,46590,4,2013,0,NA,NA,
51,4,4/4/13,4251,628,1,0,0,1,a,c,46590,4,2013,0,NA,NA,
796,2,6/17/14,9131,747,1,1,0,0,c,c,45740,8,2008,0,NA,NA,
109,1,9/2/13,6856,695,1,0,0,0,c,c,45740,8,2008,0,NA,NA,
221,1,5/20/13,0,0,0,0,a,0,a,a,44320,8,2008,0,NA,NA,
870,3,2/11/15,3854,525,1,0,0,1,a,a,44320,8,2008,0,NA,NA,
197,5,7/18/14,4822,642,1,1,0,0,a,a,44320,8,2008,0,NA,NA,
179,1,7/15/13,11115,1040,1,1,0,1,a,c,40860,9,2013,0,NA,NA,
543,6,4/27/13,6343,771,1,0,0,0,a,c,40860,9,2013,0,NA,NA,
1048,3,4/22/15,6923,792,1,0,0,0,a,c,40860,9,2013,0,NA,NA,
507,3,12/18/13,14899,1308,1,1,0,0,a,c,40860,9,2013,0,NA,NA,
721,1,10/21/13,15300,1348,1,1,0,1,a,c,40540,2,2002,0,NA,NA,
166,6,5/3/14,6224,603,1,0,0,0,a,c,40540,2,2002,0,NA,NA,
159,5,1/2/15,10941,1029,1,0,0,1,a,c,40540,2,2002,0,NA,NA,
179,4,10/10/13,10882,1068,1,1,0,0,a,c,40540,2,2002,0,NA,NA,
491,6,12/14/13,8591,725,1,0,0,0,a,c,40540,2,2002,0,NA,NA,
735,6,1/4/14,6003,586,1,0,0,0,a,c,40540,2,2002,0,NA,NA,
806,7,5/5/13,0,0,0,0,0,0,a,c,38710,4,2013,0,NA,NA,
197,3,10/2/13,4732,523,1,0,0,0,a,c,38710,4,2013,0,NA,NA,
112,2,2/18/14,4917,499,1,1,0,0,a,c,38710,4,2013,0,NA,NA,
178,6,8/16/14,2725,292,1,0,0,0,a,c,38710,4,2013,0,NA,NA,
626,6,6/7/14,2893,325,1,0,0,0,a,c,38710,4,2013,0,NA,NA,
904,5,4/19/13,4311,561,1,0,0,0,d,c,38630,9,2012,0,NA,NA,
942,6,12/27/14,9986,1025,1,0,0,0,d,c,38630,9,2012,0,NA,NA,
660,3,7/30/14,10402,1122,1,1,0,1,d,c,38630,9,2012,0,NA,NA,
767,5,1/31/14,3664,365,1,0,0,0,a,a,36410,4,2008,0,NA,NA,
961,3,5/14/14,2898,293,1,0,0,0,a,a,36410,4,2008,0,NA,NA,
337,3,2/11/15,2902,292,1,0,0,1,a,a,36410,4,2008,0,NA,NA,
327,4,1/29/15,4085,349,1,1,0,0,a,a,36410,4,2008,0,NA,NA,
823,6,2/9/13,1168,120,1,0,0,0,a,a,36410,4,2008,0,NA,NA,
729,2,2/19/13,4546,402,1,1,0,0,a,a,36410,4,2008,0,NA,NA,
509,6,6/28/14,1316,128,1,0,0,0,a,a,36410,4,2008,0,NA,NA,
615,7,6/1/14,3369,389,1,0,0,0,a,c,35280,NA,NA,0,NA,NA,
135,2,11/12/13,3670,464,1,0,0,0,a,c,35280,NA,NA,0,NA,NA,
172,3,6/19/13,5960,690,1,1,0,0,a,c,35280,NA,NA,0,NA,NA,
1092,7,1/18/15,0,0,0,0,0,0,a,a,34050,4,2008,0,NA,NA,
172,4,11/13/14,4631,405,1,1,0,0,a,a,34050,4,2008,0,NA,NA,
443,1,2/2/15,6316,507,1,1,0,1,a,a,34050,4,2008,0,NA,NA,
853,4,10/3/13,0,0,0,0,a,0,a,a,34050,4,2008,0,NA,NA,
704,7,1/11/15,0,0,0,0,0,0,a,a,34050,4,2008,0,NA,NA,
629,7,3/8/15,0,0,0,0,0,0,a,c,33060,3,2010,0,NA,NA,
312,1,12/15/14,18394,1815,1,1,0,0,a,c,33060,3,2010,0,NA,NA,
844,7,3/1/15,0,0,0,0,0,0,a,c,33060,3,2010,0,NA,NA,
